@date,"@dlog(ind1,0,12)","@dlog(ind2,0,12)","@dlog(ind3,0,12)","@dlog(ind4,0,12)","@dlog(ind5,0,12)","@dlog(ind6,0,12)",ind7,ind8,ind9,"@dlog(ind10,0,12)","@dlog(ind11,1,12)","@dlog(ind12,0,12)","@dlog(ind13,0,12)","@dlog(ind1(-1),0,12)","@dlog(ind2(-1),0,12)","@dlog(ind3(-1),0,12)","@dlog(ind4(-1),0,12)","@dlog(ind5(-1),0,12)","@dlog(ind6(-1),0,12)",ind7(-1),ind8(-1),ind9(-1),"@dlog(ind10(-1),0,12)","@dlog(ind11(-1),1,12)","@dlog(ind12(-1),0,12)","@dlog(ind13(-1),0,12)","@dlog(ind1(-2),0,12)","@dlog(ind2(-2),0,12)","@dlog(ind3(-2),0,12)","@dlog(ind4(-2),0,12)","@dlog(ind5(-2),0,12)","@dlog(ind6(-2),0,12)",ind7(-2),ind8(-2),ind9(-2),"@dlog(ind10(-2),0,12)","@dlog(ind11(-2),1,12)","@dlog(ind12(-2),0,12)","@dlog(ind13(-2),0,12)"
1998-02-01,0.0590619805275265,,0.102567141526598,0.0915303177417925,0.0339865338913067,,4.20066076666667,5.4,18.0765519,0.0047646463623349,,0.1009504277643964,0.1662093581397288,0.0572193000585716,,0.068302678254521,0.0253655569147133,0.0289267175709726,,5.75967126666667,6.1,20.1781338,0.0059364867973075,,0.0852284576862265,0.1306417757355804,0.0578746423436964,,0.0768555630178697,0.0754970069269322,0.0248151385740902,,5.86891446666667,2.7,17.4215467,0.008287436038243,,0.0816730105987266,0.1023222645488752
1998-03-01,0.0427196256026212,,0.050615064326859,0.1053235155217704,0.0372454793177388,,4.1841385,6.1,13.7047309,0.0023649305890787,,0.0620649535146773,0.0714610197591936,0.0590619805275265,,0.102567141526598,0.0915303177417925,0.0339865338913067,,4.20066076666667,5.4,18.0765519,0.0047646463623349,,0.1009504277643964,0.1662093581397288,0.0572193000585716,,0.068302678254521,0.0253655569147133,0.0289267175709726,,5.75967126666667,6.1,20.1781338,0.0059364867973075,,0.0852284576862265,0.1306417757355804
1998-04-01,0.0440427503313092,,0.0597660807111282,0.0582406056413029,0.0318526778344443,,2.37235836666667,5.9,16.7018583,0.0011817661826158,,0.073620987321596,0.1390430467758774,0.0427196256026212,,0.050615064326859,0.1053235155217704,0.0372454793177388,,4.1841385,6.1,13.7047309,0.0023649305890787,,0.0620649535146773,0.0714610197591936,0.0590619805275265,,0.102567141526598,0.0915303177417925,0.0339865338913067,,4.20066076666667,5.4,18.0765519,0.0047646463623349,,0.1009504277643964,0.1662093581397288
1998-05-01,0.0519660472599952,,0.0683694927155311,0.0478182633588311,0.0363445220350513,,3.0210952,3.8,13.4260624,0.0,,0.0759962809698428,0.0873746972667239,0.0440427503313092,,0.0597660807111282,0.0582406056413029,0.0318526778344443,,2.37235836666667,5.9,16.7018583,0.0011817661826158,,0.073620987321596,0.1390430467758774,0.0427196256026212,,0.050615064326859,0.1053235155217704,0.0372454793177388,,4.1841385,6.1,13.7047309,0.0023649305890787,,0.0620649535146773,0.0714610197591936
1998-06-01,0.0492370885667048,,0.0610746649415156,0.077257293391062,0.0402495131266347,,4.6549161,10.7,14.6663271,-0.0011831644064628,,0.0742449741894901,0.0387006858696032,0.0519660472599952,,0.0683694927155311,0.0478182633588311,0.0363445220350513,,3.0210952,3.8,13.4260624,0.0,,0.0759962809698428,0.0873746972667239,0.0440427503313092,,0.0597660807111282,0.0582406056413029,0.0318526778344443,,2.37235836666667,5.9,16.7018583,0.0011817661826158,,0.073620987321596,0.1390430467758774
1998-07-01,0.0404733412660638,,0.0491461696128112,0.0988221869853944,0.0361627527250645,,4.1684665,15.0,18.6356569,-0.0047646463623349,,0.0877175231768321,0.0452643871014526,0.0492370885667048,,0.0610746649415156,0.077257293391062,0.0402495131266347,,4.6549161,10.7,14.6663271,-0.0011831644064628,,0.0742449741894901,0.0387006858696032,0.0519660472599952,,0.0683694927155311,0.0478182633588311,0.0363445220350513,,3.0210952,3.8,13.4260624,0.0,,0.0759962809698428,0.0873746972667239
1998-08-01,0.042333618950189,,0.0467465562712705,0.0630499142661129,0.0370812393513304,,3.048446486666669,6.2,13.4979849,-0.0107055122990402,,0.1055872298852067,0.0613307944230534,0.0404733412660638,,0.0491461696128112,0.0988221869853944,0.0361627527250645,,4.1684665,15.0,18.6356569,-0.0047646463623349,,0.0877175231768321,0.0452643871014526,0.0492370885667048,,0.0610746649415156,0.077257293391062,0.0402495131266347,,4.6549161,10.7,14.6663271,-0.0011831644064628,,0.0742449741894901,0.0387006858696032
1998-09-01,0.0287019151346594,,0.0352809485280856,0.0378543956165762,0.0372862236995041,,-0.49181958,-1.1,5.29501435,-0.0154500262222319,,0.0839254482319526,0.0301502005020743,0.042333618950189,,0.0467465562712705,0.0630499142661129,0.0370812393513304,,3.048446486666669,6.2,13.4979849,-0.0107055122990402,,0.1055872298852067,0.0613307944230534,0.0404733412660638,,0.0491461696128112,0.0988221869853944,0.0361627527250645,,4.1684665,15.0,18.6356569,-0.0047646463623349,,0.0877175231768321,0.0452643871014526
1998-10-01,0.0275062126531215,,0.0302016328162775,0.0391726349047116,0.0346258825826693,,-1.35736696666667,-2.3,8.47853854,-0.0190243447816804,,0.1080847568341809,0.0673571193915307,0.0287019151346594,,0.0352809485280856,0.0378543956165762,0.0372862236995041,,-0.49181958,-1.1,5.29501435,-0.0154500262222319,,0.0839254482319526,0.0301502005020743,0.042333618950189,,0.0467465562712705,0.0630499142661129,0.0370812393513304,,3.048446486666669,6.2,13.4979849,-0.0107055122990402,,0.1055872298852067,0.0613307944230534
1998-11-01,0.0312039661402989,,0.0359922130841132,0.0538819415195375,0.0376259542901662,,-1.28016553333333,-3.4,3.36696116,-0.0214324385426865,,0.1287068678902487,0.076758808992615,0.0275062126531215,,0.0302016328162775,0.0391726349047116,0.0346258825826693,,-1.35736696666667,-2.3,8.47853854,-0.0190243447816804,,0.1080847568341809,0.0673571193915307,0.0287019151346594,,0.0352809485280856,0.0378543956165762,0.0372862236995041,,-0.49181958,-1.1,5.29501435,-0.0154500262222319,,0.0839254482319526,0.0301502005020743
