_date_,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F
2018-03-01,3.291363,-0.595749,-1.44446,0.588677,0.148049,0.255874
2018-04-01,3.368661,-0.53054,-1.277669,0.279347,0.417756,0.326246
2018-05-01,3.434867,-0.857531,-1.26048,0.009637,0.201802,0.321679
2018-06-01,3.125865,-1.151293,-1.27598,-0.087001,-0.388993,0.353568
2018-07-01,2.985045,-1.273906,-1.139713,0.535432,-0.364867,0.464153
2018-08-01,2.513638,-1.332726,-0.885985,0.573549,0.143848,0.493984
2018-09-01,2.246594,-1.503303,-0.709071,-0.136125,0.772108,0.48852
2018-10-01,1.809605,-1.505773,-0.676782,-0.001404,0.293202,-0.03995
2018-11-01,1.754829,-1.704705,-1.001197,0.604447,-0.272947,0.063562
2018-12-01,1.644949,-1.471009,-1.163835,0.281781,0.266261,0.195242
2019-01-01,1.48763,-1.100162,-1.348356,0.76749,-0.101291,0.043613
2019-02-01,1.435826,-0.693038,-1.034331,0.320646,0.686104,0.302898
2019-03-01,1.343033,-0.980865,-1.109075,0.059683,0.242642,-0.246591
2019-04-01,1.309997,-1.312525,-1.156743,0.948396,0.166456,-0.097389
2019-05-01,1.113261,-1.31172,-1.085756,0.62594,1.222003,0.241069
2019-06-01,1.045731,-1.511153,-1.20433,0.183236,1.220314,-0.17444
2019-07-01,0.697983,-1.448723,-1.392541,0.451605,0.4772,-0.639659
2019-08-01,0.883657,-1.206963,-1.746782,1.089201,0.450695,-0.329011
2019-09-01,0.873305,-0.745556,-1.675712,0.774186,0.969461,-0.086456
2019-10-01,0.804342,-0.744278,-1.635997,0.182996,1.090196,-0.401869
2019-11-01,0.590201,-0.752505,-1.562297,0.255597,0.773304,-0.726581
2019-12-01,0.553128,-1.070319,-1.529618,0.862422,0.749415,-0.599295
2020-01-01,0.41896,-1.39269,-1.470318,0.600851,1.219261,-0.036151
2020-02-01,0.40505,-1.026131,-1.482787,1.313216,0.453928,-0.288695
2020-03-01,-1.479852,-1.983537,-1.996057,-1.757656,2.320642,1.513747
2020-04-01,-8.011135,-7.382798,-3.592618,-10.301209,4.142602,1.403614
2020-05-01,-14.675349,-8.851505,-4.856457,-2.261505,-5.126172,-3.86725
2020-06-01,-17.125055,-4.124577,-3.031795,9.201014,-2.521563,-0.594902
2020-07-01,-12.334328,0.500835,-0.752081,5.475819,4.697924,2.078159
2020-08-01,-8.180883,0.941967,0.128197,1.486294,5.040043,1.041528
2020-09-01,-5.663472,0.149898,-0.403223,0.676028,1.448346,-0.750347
2020-10-01,-4.132866,0.413688,-0.710207,1.408876,0.186103,-0.602324
2020-11-01,-2.763571,1.089378,-0.687091,0.383715,1.20476,0.523529
2020-12-01,-2.058754,0.788703,-0.867924,-0.458921,-0.045821,0.149666
2021-01-01,-1.831055,0.313025,-0.606802,-0.587898,-0.266479,0.458252
2021-02-01,-2.200526,-0.013663,-0.761101,-0.573667,-0.425255,0.749416
2021-03-01,-0.099812,1.53796,0.209924,3.695869,-2.292126,-0.12362
2021-04-01,5.424519,7.373559,2.682125,9.839274,-2.775994,0.05669
2021-05-01,10.581038,8.552641,5.000435,1.722474,5.347366,3.569341
2021-06-01,11.506921,4.702699,4.344454,-8.274139,3.085227,0.172063
