_date_,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F
2014-01-01,1.378937,-2.425605,2.469594,2.401646,2.170006,-0.08262,-0.685963
2014-02-01,1.605896,-2.376851,2.196747,2.214539,2.668058,0.36449,-0.490543
2014-03-01,1.800401,-2.646083,1.795892,1.645048,2.296195,-0.208376,-0.408912
2014-04-01,2.40443,-2.628479,1.68986,1.242758,2.117066,-0.689752,0.180013
2014-05-01,2.999504,-2.801595,1.468991,1.045366,1.900749,-0.917071,0.15587
2014-06-01,3.28104,-2.661199,1.053365,1.389459,1.406848,-0.783249,0.088181
2014-07-01,3.230352,-2.952534,0.413698,1.440411,1.232464,-0.59822,0.842456
2014-08-01,2.716976,-3.103504,-0.498447,1.33035,1.084455,-0.714836,0.950143
2014-09-01,2.593831,-3.302284,-0.55261,0.496905,1.127537,-0.309576,1.068372
2014-10-01,2.566461,-3.360473,-0.256843,0.05777,0.81646,-0.20156,0.54321
2014-11-01,2.877696,-3.087985,-0.314562,0.503308,0.566345,-0.418929,0.79629
2014-12-01,2.543864,-3.240232,-0.865102,0.439522,0.265228,-1.077625,0.245391
2015-01-01,2.307544,-3.739007,-1.278513,-0.278057,-0.461081,-1.401876,-0.050218
2015-02-01,2.376897,-4.358485,-1.239012,-0.801519,-1.142031,-1.595762,-0.36
2015-03-01,3.555385,-4.510405,-0.706407,-1.214405,-0.90084,-1.206288,0.057121
2015-04-01,3.810949,-4.179577,-1.604774,0.209626,-0.789024,-1.207267,-0.823226
2015-05-01,4.151457,-3.711283,-1.942117,0.238825,-0.176659,-0.525943,0.212711
2015-06-01,3.782873,-3.71307,-1.457013,-0.946839,-0.299401,-0.288782,-0.395647
2015-07-01,4.596066,-3.330005,-0.866009,-0.56001,-0.791952,0.377714,0.099993
2015-08-01,5.251571,-3.495275,-0.283958,-0.423141,-0.931342,0.340353,0.659156
2015-09-01,5.305736,-3.529877,-0.943491,0.730458,-0.837967,-0.340316,0.683825
2015-10-01,5.036378,-3.663565,-1.495684,0.604659,-0.276758,-0.849988,0.71635
2015-11-01,4.767374,-3.901873,-1.117421,-0.481425,-0.07183,-0.873012,-0.049688
2015-12-01,5.126483,-3.698923,-1.033118,-0.194988,-0.013897,-0.634962,-0.000984
2016-01-01,5.68731,-3.487647,-0.859598,0.078719,0.491181,-0.654912,0.782851
2016-02-01,5.760419,-3.37333,-0.965091,0.169417,0.469449,-0.497654,0.634996
2016-03-01,4.842773,-3.090945,-1.884189,1.184828,-0.301161,-0.52663,0.215663
2016-04-01,4.561945,-3.4496,-1.307919,-0.335681,-0.871812,0.077314,1.412329
2016-05-01,3.797595,-3.579418,-1.345189,-0.40232,-1.683797,-0.607089,0.074292
2016-06-01,4.285936,-3.389635,-1.740223,0.319302,-1.255033,-0.407938,1.290512
2016-07-01,3.422093,-3.171322,-1.887392,-0.261032,-0.660878,-1.013474,-0.36269
2016-08-01,3.402323,-2.756822,-1.981545,-0.242241,-0.609277,-0.668072,-0.251053
2016-09-01,3.301489,-2.546645,-1.471219,-0.978042,-0.969499,-0.266436,-0.762815
2016-10-01,3.628835,-2.205558,-1.56012,-0.435323,-1.292313,0.128399,-0.138343
2016-11-01,3.689465,-1.955679,-2.043189,-0.195795,-1.157861,0.351627,0.518193
2016-12-01,3.58392,-1.613363,-2.066525,-0.551661,-0.674657,0.17995,0.367621
2017-01-01,3.641405,-1.101996,-1.825005,-0.708927,-0.527278,0.827273,0.1234
2017-02-01,3.17471,-0.132158,-2.265078,-0.109809,-0.218417,0.278546,-0.641091
