_date_,FEXP1F,FEXP2F,FEXP3F,FEXP4F,FEXP5F
2019-11-01,-0.136038,-0.141093,0.040051,0.082258,0.551889
2019-12-01,-0.18481,0.05659,-0.229153,-0.362996,0.646409
2020-01-01,-0.166853,-0.062535,-0.269028,-0.019923,0.896408
2020-02-01,-0.15173,-0.102079,-0.1027,-0.010678,0.625241
2020-03-01,-2.948624,-3.404883,0.465682,2.644948,0.400433
2020-04-01,-14.106876,-13.163396,5.877013,5.070409,0.839403
2020-05-01,-26.252886,-9.982813,5.431041,-4.685985,-0.436247
2020-06-01,-30.775291,5.087304,-1.025627,-2.922417,-1.581019
2020-07-01,-22.549023,9.649344,-3.209742,2.304292,-1.105343
2020-08-01,-14.297423,4.897879,-1.372811,4.314247,-1.06872
2020-09-01,-11.075724,0.130264,1.109138,0.96341,-0.927312
2020-10-01,-11.572283,0.531169,1.847547,0.575021,-0.182779
2020-11-01,-12.109448,1.685066,2.60351,1.260183,0.074013
2020-12-01,-11.574017,2.366047,2.294131,0.890568,-0.247413
2021-01-01,-11.852146,1.068049,2.388002,2.639091,-0.163805
2021-02-01,-12.54028,0.231797,3.013563,0.467071,0.163201
2021-03-01,-10.47175,5.524029,1.593517,-2.687113,0.236641
2021-04-01,1.022304,15.619371,-3.113339,-3.408753,0.294065
2021-05-01,14.081342,12.053187,-3.306605,6.136157,1.322095
2021-06-01,19.97633,-2.28522,1.710525,3.748275,2.392597
2021-07-01,14.083282,-7.333835,2.699702,-0.945649,1.633684
2021-08-01,8.046258,-3.351804,1.143635,-3.363748,1.216176
2021-09-01,6.263687,1.006246,-1.160217,-0.80017,0.461201
2021-10-01,7.759691,0.254025,-1.636391,0.481505,-0.374145
2021-11-01,9.228174,-0.646497,-2.110548,-1.050698,-1.022537
2021-12-01,9.263018,-1.487007,-1.80091,-0.575141,-0.860008
2022-01-01,9.543828,-1.095527,-1.054484,-1.615208,-1.039688
2022-02-01,10.09789,0.269276,-1.993082,-0.49085,-1.698196
2022-03-01,10.685321,-1.491312,-1.918197,0.958354,-2.007565
2022-04-01,10.970975,-2.264198,-2.351983,-0.957319,-2.855331
2022-05-01,10.347515,-1.686069,-2.100106,-1.088291,-2.962038
2022-06-01,9.159715,-2.50471,0.07397,-0.693939,-2.83925
2022-07-01,6.90082,-2.166648,1.20092,-0.58,-2.672351
2022-08-01,4.902855,-0.542021,1.218114,-0.854101,-2.730692
2022-09-01,3.802136,-0.170014,1.099106,0.415742,-2.663286
2022-10-01,2.870287,-0.702029,1.275897,0.770627,-2.401721
2022-11-01,1.887987,-0.497461,0.706942,-0.148296,-2.688194
2022-12-01,1.47769,0.091745,0.33296,0.227308,-2.559427
2023-01-01,1.760705,0.341678,0.233317,0.397477,-2.323061
2023-02-01,1.717704,-0.405859,0.012334,0.628921,-1.604639
