_date_	fexp1	fexp2	fexp3	fexp4	fexp5
2020-05-01	-26.252885707283704	-9.9828132039339008	5.431041185999732	4.6859854735993496	-0.43624652669289712
2020-06-01	-30.775290940163356	5.0873036783018712	-1.025626937931257	2.9224171971037424	-1.5810187609138716
2020-07-01	-22.549022597672044	9.6493438694054784	-3.2097419957891872	-2.304291652205506	-1.1053425420822984
2020-08-01	-14.297422615107144	4.8978794157298512	-1.3728106666853896	-4.3142474778256912	-1.0687197171160878
2020-09-01	-11.075723861094966	0.13026439020851	1.1091383048774332	-0.96340995799067248	-0.9273123572448664
2020-10-01	-11.572283073715616	0.53116857954004208	1.847547345499488	-0.57502141292239328	-0.18277942185132196
2020-11-01	-12.109447756404972	1.6850660005289124	2.6035100138127696	-1.2601827209792488	0.07401319954845376
2020-12-01	-11.57401711138263	2.3660471795877092	2.2941311882510816	-0.89056845929805744	-0.24741286041961064
2021-01-01	-11.852145662663202	1.0680489005461562	2.3880021334858796	-2.639090818573532	-0.16380481169220718
2021-02-01	-12.540279786181858	0.23179696752421712	3.0135628181435688	-0.46707089303488672	0.16320078743396846
2021-03-01	-10.47175043213983	5.5240286235665872	1.5935166071068996	2.6871129232103672	0.23664060483213984
2021-04-01	1.0223041755179212	15.619370567204908	-3.1133393644041004	3.408753128223694	0.29406457661619884
2021-05-01	14.08134194548523	12.053187060276138	-3.3066046508024648	-6.1361570366341736	1.322094840007126
2021-06-01	19.976329538731032	-2.2852197360135604	1.7105253029036686	-3.748275244836028	2.392597062245804
2021-07-01	14.08328235712787	-7.3338352227707232	2.6997023509766044	0.94564916676087472	1.633683926763331
2021-08-01	8.046257954514584	-3.3518044500312564	1.1436352161396162	3.3637478330398048	1.2161755824544406
2021-09-01	6.2636865810639992	1.0062459047618008	-1.1602170273304672	0.80017049628217072	0.46120105409523552
2021-10-01	7.7596911140914464	0.2540245043584094	-1.636390511653919	-0.48150474769036552	-0.37414530313281328
2021-11-01	9.2281741277659984	-0.64649651609006632	-2.1105484651973332	1.0506977756410252	-1.022537421209577
2021-12-01	9.2630182184786912	-1.4870069536792318	-1.800910246572589	0.57514073723266	-0.86000780723726352
2022-01-01	9.5438278811294592	-1.0955272918165046	-1.0544838121294186	1.6152082676918014	-1.0396882991119734
2022-02-01	10.09788983905131	0.26927594937402644	-1.993082201168718	0.49085011712496112	-1.6981963715696228
2022-03-01	10.685320761187398	-1.4913116344479296	-1.918197467941566	-0.95835396427878288	-2.007565276980186
2022-04-01	10.970975069115162	-2.264198346368588	-2.3519826229323284	0.95731906304391072	-2.8553312629447524
2022-05-01	10.347515249219648	-1.686068574552835	-2.100105502559508	1.0882909699564726	-2.9620376048052752
2022-06-01	9.1597146977818256	-2.5047103933850396	0.073970186981051344	0.69393886621809864	-2.839249528496848
2022-07-01	6.9008202493146088	-2.1666483503156352	1.2009201706704772	0.57999997795256328	-2.6723508873948356
2022-08-01	4.9028548096002408	-0.5420208975356564	1.218114470029505	0.8541006560188504	-2.7306924288268432
2022-09-01	3.8021359579662488	-0.17001391350272508	1.0991058102028452	-0.41574152582049448	-2.6632863938212248
2022-10-01	2.8702871742634292	-0.70202894473095712	1.2758966887536152	-0.77062665929505888	-2.4017208119639908
2022-11-01	1.8879868920544932	-0.49746117720346112	0.70694162367376024	0.14829571596773034	-2.6881940858606988
2022-12-01	1.4776898574360998	0.091744651931417184	0.33295971161041688	-0.22730829811753348	-2.5594271383478332
2023-01-01	1.7607046508482734	0.34167751503581584	0.23331662379155384	-0.39747711479023768	-2.3230610029703924
2023-02-01	1.7177041274071002	-0.40585944740385368	0.01233373634358087	-0.62892102108381576	-1.6046393755762644
2023-03-01	1.7952575985894196	-0.029524356800514988	0.3629496439607344	0.94791857964846608	-1.277023929875265
2023-04-01	1.0077252735448032	-0.74976337861832272	-0.15537175570994308	-1.1724998537166708	-0.29131192279958612
