_date_;FAGR1F_H;FAGR2F_H;FAGR3F_H;FAGR4F_H;FAGR5F_H;FCON1F_H;FCON2F_H;FCON3F_H;FCON4F_H;FCON5F_H;FCP1F_H;FCP2F_H;FCP3F_H;FCP4F_H;FCP5F_H;FCP6F_H;FCP7F_H;FCPU1F_H;FCPU2F_H;FCPU3F_H;FEXP1F_H;FEXP2F_H;FEXP3F_H;FEXP4F_H;FEXP5F_H;FIMP1F_H;FIMP2F_H;FIMP3F_H;FIMP4F_H;FIMPU1F_H;FIMPU2F_H;FIMPU3F_H;FIMPU4F_H;FIND1F_H;FIND2F_H;FIND3F_H;FIND4F_H;FIND5F_H;FIND6F_H;FINV1F_H;FINV2F_H;FINV3F_H;FINV4F_H;FINV5F_H;FSER1F_H;FSER2F_H;FSER3F_H;FSER4F_H;FSER5F_H;FSER6F_H
1998M12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.000623;-1.179231;0.163485;0.975587;0.226909;0.797017;-0.172186;0.047926;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999M01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.965762;-0.899340;0.072338;1.008087;0.373683;0.908271;-0.227597;0.038634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999M02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.808706;-0.658862;0.009428;0.924420;0.454188;0.980569;-0.090475;-0.054721;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999M03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.667554;-0.720030;-0.004629;0.551478;0.461391;0.930368;0.081013;0.020640;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999M04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.648117;-0.968645;-0.176704;0.102793;0.401496;0.773456;0.078647;0.040305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999M05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.693009;-1.192735;-0.417942;-0.265684;0.366722;0.625757;0.041943;0.032410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999M06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.621866;-1.231479;-0.670467;-0.461442;0.337910;0.551259;0.011760;0.029106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999M07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.466258;-1.099433;-0.793898;-0.591790;0.312912;0.528287;-0.011393;0.024151;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999M08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.272375;-0.853529;-0.674923;-0.751129;0.297105;0.523664;-0.018183;0.017899;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999M09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.331733;-0.611398;-0.330840;-0.933547;0.286329;0.519395;-0.014841;0.017563;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999M10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.622396;-0.402257;-0.032145;-1.067749;0.279800;0.512346;-0.018410;0.021431;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
