_date_	fexp1f	fexp2f	fexp3f	fexp4f	fexp5f	fexp1f_h	fexp2f_h	fexp3f_h	fexp4f_h	fexp5f_h
2022-10-01	2.8703611162925912	-0.70175418035947992	1.2760939315723088	-0.76755543817787936	-2.4024786675101472	2.7706211931833372	-0.41563139978326104	1.1097220533613108	-0.3217516480428766	-2.5981014887552808
2022-11-01	1.8880214053654728	-0.49725623259309088	0.70713822059937744	0.15172428657808596	-2.6881186340155412	2.0330065811161124	-0.24727295185232356	0.786732980133244	-0.26391303945550148	-2.601152386987962
2022-12-01	1.4777369527751972	0.091973269425315584	0.33315362212863488	-0.22418747644017324	-2.5595438442159132	1.688290318038552	-0.020691446039237824	0.4721978143650716	-0.2711882792164082	-2.490396046356306
2023-01-01	1.7607536833748964	0.3419135979717028	0.2335127029355256	-0.39451879828387424	-2.323463569046206	1.6573456704794816	0.055584218392779792	0.27997116724502652	-0.29381404434220816	-2.18894090737066
2023-02-01	1.7177908433785682	-0.40560275844788248	0.012482063648296294	-0.62692765065603976	-1.6052053152056054	1.650492539704371	-0.11431014235493376	0.18486345772490448	-0.23502620907327788	-1.6890432084009796
2023-03-01	1.7952710544311152	-0.029399380289186448	0.36309272905120736	0.94970980823053616	-1.2761878384645944	1.4814588398741066	-0.3399093325021184	0.11522664044700034	-0.098765401591660432	-1.1174818494927674
2023-04-01	1.0078716868158648	-0.74948993929280432	-0.15530740329730758	-1.1724144128577376	-0.29200601000044936	1.0312707888237722	-0.72204077236146288	-0.172968724022999	-0.28087369166216068	-0.51719783749615192
2023-05-01	0.41021612034899616	-1.5257129155475544	-0.18106185892410292	-0.17981665982846252	0.032239505616255048	0.49476681894546056	-1.0510219300327238	-0.6758859865151996	-0.12871793922738706	-0.089838168233088752
2023-06-01	-0.1495486276065065	-0.82211790621716896	-2.0604901618231584	0.63921467110557536	0.049623525335275944	0.043386260623356888	-1.1446194405469996	-1.3720271771340164	0.11879427457447508	0.18814198997016876
2023-07-01	-0.14521315575483056	-1.0863382893297584	-1.750923953236218	-0.003897673571200008	0.4049483128052204	-0.23598225435481764	-1.2952909244502196	-1.7450701983927678	0.17165664800416496	0.46236514263671104
2023-08-01	-0.32216151644759972	-1.8112087525202812	-1.6607907449128864	0.06402552587178188	0.7379666486618992	-0.44938498243120528	-1.4729924679584814	-1.967155937493914	0.26028327585352212	0.739935330654736
2023-09-01	-0.75408392494340192	-1.5099636234268332	-2.2754544465979036	0.45429634884120992	1.1212227967926664	-0.61209908144796096	-1.438727522167422	-2.2162790364833656	0.4395339313390212	0.97053976508095072
2023-10-01	-0.69394466503738872	-1.1379635002639272	-2.5516575322658972	0.89222181192439456	1.0166899660042812	-0.61217824326363424	-1.2917158227344784	-2.3640689448260092	0.56801063769539648	1.101896974979226
2023-11-01	-0.41339086781820992	-1.072117702854487	-2.2592937812288228	0.42466562209249544	1.1738738642935784	-0.47966100323221608	-1.202413206576499	-2.3413305221012676	0.51907783565957112	1.2324085211251474
2023-12-01	-0.29938724743525528	-1.357590178227832	-2.2159974840743776	0.12682404862788426	1.372362446470384	-0.32635231848145184	-1.187523188139782	-2.2664572153284528	0.49031114019746656	1.3752689553193574
2024-01-01	-0.1789678222855744	-1.0740105910492478	-2.1578889692109772	0.9927127891058432	1.5026091525966228	-0.1977870107250806	-1.1334537781486132	-2.1758057306544324	0.58487395270792888	1.4851381725309294
2024-02-01	-0.012877152112256512	-0.76601023252362048	-2.0448119289078152	0.7360774158904544	1.5651608425174424	-0.11253483063064518	-1.0966799774153286	-2.0552730429720004	0.542442583020222	1.5137695588799646
2024-03-01	-0.1409393654246403	-1.7114538544994024	-1.9474596565372744	-0.65852671502357384	1.706465777372106	-0.070346340426182136	-1.0742335996529	-1.8728393657304932	0.51053217736152456	1.4303874805522572
2024-04-01	-0.046550085094542456	-0.6544397626046644	-1.4810156541388268	2.097051118393734	0.87437975397579632	0.028685576178660596	-0.73247671368259088	-1.5860237983150652	0.8302927148292472	1.2556075873710796
2024-05-01	0.11089587129620924	0.046632315878111992	-1.6867832764819454	0.52580010174672744	1.1583115727774806	0.21387501047577692	-0.37499164317216752	-1.226965730917652	0.6738152821357016	1.2861238259795538
2024-06-01	0.63268271341096712	-0.45758209527175504	-0.18327481456115484	-0.2190885556038412	1.6419091543967478	0.43930039248385768	-0.22732376071147008	-0.72279640955395264	0.47994936955768696	1.437402309625518
2024-07-01	0.54163546894266456	-0.070829130203258272	-0.53573453234026744	1.1121985142744716	1.5295200631371668	0.55606101304202624	-0.093394479840059312	-0.46046462580395952	0.53952928698302824	1.497096898354737
2024-08-01	0.5664287020282436	0.043137332164995952	-0.50433154015034632	0.32235741033499656	1.5297230296771884	0.60863848391651552	-0.0073835486577809712	-0.28739757625486696	0.44435141913802272	1.4573682969842062
2024-09-01	0.63308080143452504	-0.13868892827867702	0.07617828344954544	0.1700238159017358	1.2796747250534462	0.6270888727741968	0.019094634372320256	-0.12629236403017722	0.35888137804041092	1.342800375113351
2024-10-01	0.64421112010723888	0.29709421312842672	-0.10046051619232734	0.77838962000135728	1.099863081505927	0.59925846539366976	0.024946551609976604	-0.1167800561488724	0.32559076690490764	1.2503317350345798
2024-11-01	0.50273868789358624	-0.24800137829807728	-0.2809717443625472	-0.42190970662643888	1.340011631931541	0.5189854762138628	-0.10870487723607696	-0.1960210721502118	0.19809362680755264	1.2137753289803954
2024-12-01	0.4306397410984292	-0.27015182444442608	-0.12896405750398466	0.6955333068450844	1.1540103544617918	0.42506077438727312	-0.2285890709386554	-0.28485629161690972	0.28280285192083572	1.1164754556546492
2025-01-01	0.321392299743238	-0.36585295563651928	-0.66869299554888048	0.15849954669040178	0.96536422476105808	0.34002844074612144	-0.320731949332574	-0.38907726634401576	0.26612800298325512	0.96801271671233776
2025-02-01	0.22996307298645496	-0.41050375355709064	-0.31439327505797144	0.18566541250475704	0.74733364554080832	0.29201152283378472	-0.41272218575841872	-0.35858331401365444	0.24720909565755756	0.81550261261560032
2025-03-01	0.3097829510909384	-0.046157160037003544	-0.42432898835326952	0.6480690769185092	0.55627714681209536	0.29049692719075652	-0.5772694598607212	-0.32288948151281516	0.21755768931363664	0.70341215187529656
2025-04-01	0.32671571952401208	-1.2855846013599388	-0.27236164872308572	-0.6075009570376008	0.893334653560708	0.28292311051020092	-0.88486501908268512	-0.36732077677280416	0.10714166016858548	0.60803937592749536
2025-05-01	0.296184693090226	-1.4266465013422344	0.0084135321054358832	0.49335040053660792	0.396199716673538	0.23601455338546384	-0.87488781104379648	-0.67864171456538216	0.27644027204437	0.35854732114506348
2025-06-01	0.081551755708669424	-0.17677965935779372	-1.8620673501187676	0.77257918150963424	-0.066927174781015952	0.16028834542370244	-0.48743636564079544	-1.3486576816125914	0.37129017155676976	0.0693943015340812
