_date_,fcon1f
2017-09-01,2.409275912808086
2017-10-01,2.4117548779614864
2017-11-01,2.937023047843613
2017-12-01,2.6264840663165794
2018-01-01,3.003953228043008
2018-02-01,2.981997020211742
2018-03-01,3.1513813674450306
2018-04-01,2.816590816312699
2018-05-01,3.141531810084626
2018-06-01,3.3440054912568185
2018-07-01,3.381583185418835
2018-08-01,2.5365829912074807
2018-09-01,3.082601895779482
2018-10-01,3.4163779766865128
2018-11-01,3.7752990403135263
2018-12-01,2.9712081289634025
2019-01-01,2.8602224323288223
2019-02-01,2.9770516201675874
2019-03-01,3.3628368073707855
2019-04-01,3.280700392005438
2019-05-01,2.525435519315273
2019-06-01,2.328577448899527
2019-07-01,1.9972367537879747
2019-08-01,2.2400971820175224
2019-09-01,1.862779061319052
2019-10-01,1.9592833038891655
2019-11-01,1.926527251227316
2019-12-01,2.0167213436170965
2020-01-01,1.5393657608050808
2020-02-01,1.4612862223801122
2020-03-01,0.1132973409832943
2020-04-01,-3.2364026130191523
2020-05-01,-5.8201698413977985
2020-06-01,-5.919598885038599
2020-07-01,-3.269660753765886
2020-08-01,-2.123807482362457
2020-09-01,-1.303408597316094
2020-10-01,-1.0489813013061864
2020-11-01,-0.3571035118144172
2020-12-01,-0.2041701574099785
2021-01-01,-0.1146702577726031
2021-02-01,-0.2348409814856531
2021-03-01,1.0388187600725074
2021-04-01,4.0540848551729525
2021-05-01,6.276534742226956
2021-06-01,6.116153150595064
2021-07-01,4.0433589638681475
2021-08-01,3.0457174424125064
2021-09-01,2.7604101307117688
2021-10-01,2.7597984384216305
2021-11-01,2.86295850210149
2021-12-01,3.1348716759339528
2022-01-01,3.67833926380662
2022-02-01,3.957273032540953
2022-03-01,3.708261275938858
2022-04-01,3.432686913792108
2022-05-01,3.3091598252252465
2022-06-01,3.3262754842396656
2022-07-01,3.011222548728454
2022-08-01,2.710111036521218
2022-09-01,2.610734450136519
2022-10-01,3.2246086955579174
2022-11-01,3.5912116044009728
2022-12-01,3.8517062796153456
2023-01-01,3.1416496486662364
2023-02-01,2.8991721680078206
2023-03-01,3.103078119891794
2023-04-01,3.5083917377295593
2023-05-01,3.9027561629072496
2023-06-01,3.6043846356482314
2023-07-01,3.533364148210412
2023-08-01,2.5929773070125535
2023-09-01,2.1264336876107643
2023-10-01,1.8392807471625168
2023-11-01,2.447830288867615
2023-12-01,2.69399169781316
2024-01-01,2.587111869594181
2024-02-01,2.454450911781256
2024-03-01,2.1969299169788927
2024-04-01,2.55306003977991
2024-05-01,2.7452691417270656
2024-06-01,3.0270481723327296
2024-07-01,3.4254088429649623
2024-08-01,3.221977994173777
2024-09-01,3.6044846624375815
2024-10-01,3.4409144097283537
2024-11-01,3.7545235366117926
2024-12-01,3.8603586187445935
2025-01-01,3.8614848885152857
2025-02-01,3.9175849098031006
2025-03-01,3.7654855042913606
2025-04-01,3.708305613188824
2025-05-01,3.7312572644203894
2025-06-01,3.7417631731733407
2025-07-01,3.7772772961695535
2025-08-01,3.7290691919440095
2025-09-01,3.6221284391401527
2025-10-01,3.5625604617865054
2025-11-01,3.560642681423483
2025-12-01,3.57992910741229
2026-01-01,
2026-02-01,
2026-03-01,
2026-04-01,
2026-05-01,
2026-06-01,
2026-07-01,
2026-08-01,
2026-09-01,
2026-10-01,
2026-11-01,
2026-12-01,
