_date_,FAG1F,FAG2F,FAG3F,FAG4F,FAG5F,FCON1F,FCON2F,FCON3F,FCON4F,FCON5F,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F,FCPU1F,FCPU2F,FCPU3F,FEXP1F,FEXP2F,FEXP3F,FEXP4F,FEXP5F,FIMP1F,FIMP2F,FIMP3F,FIMP4F,FIMPU1F,FIMPU2F,FIMPU3F,FIMPU4F,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F,FINV1F,FINV2F,FINV3F,FINV4F,FINV5F,FSER1F,FSER2F,FSER3F,FSER4F,FSER5F,FSER6F,f202004,f202003,fvirus
2000-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.240356,-0.222979,-0.143009,1.100619,0.362798,-0.357075,-0.058815,0.004464,,,,,,,,,,,,,,,,,,0,0,0.0
2000-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.672342,0.094202,-0.774213,0.768484,0.297947,-0.32421,-0.051955,-0.038038,,,,,,,,,,,,,,,,,,0,0,0.0
2000-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.385975,-0.012415,-1.103642,0.827439,0.24077,-0.286047,-0.016087,-0.008087,,,,,,,,,,,,,,,,,,0,0,0.0
2000-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.836488,-0.174416,-0.308796,1.250356,0.213957,-0.264856,-0.018124,-0.013499,,,,,,,,,,,,,,,,,,0,0,0.0
2000-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.633734,-0.349873,-1.180598,1.1542,0.181259,-0.24641,-0.017353,-0.00785,,,,,,,,,,,,,,,,,,0,0,0.0
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.721052,-0.81586,-0.69039,1.372587,0.054047,-0.07157,-0.245809,0.127619,,,,,,,,,,,,,,,,,,0,0,0.0
2001-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.571224,-0.958871,-0.451679,1.110841,-0.010137,-0.069271,-0.03073,-0.258469,,,,,,,,,,,,,,,,,,0,0,0.0
2001-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.669207,-0.639078,-0.905504,0.217865,-0.052437,-0.085664,0.203484,0.118175,,,,,,,,,,,,,,,,,,0,0,0.0
2001-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.35844,-0.578415,-0.312833,0.393473,-0.049686,-0.281643,-0.039284,0.017434,,,,,,,,,,,,,,,,,,0,0,0.0
2001-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,-0.206987,-0.188194,-0.709468,0.115311,-0.077099,-0.271355,-0.008516,-0.047857,,,,,,,,,,,,,,,,,,0,0,0.0
