_date_;CPR;CPU;INV;EXPOR;IMP;PIB;AGRICUL;INDUSTRIA;CONSTRU;SERVI;IMPUESTOS;uno;PCY_CPR;PCY_CPU;PCY_INV;PCY_EXPOR;PCY_IMP;PCY_PIB;PCY_AGRICUL;PCY_INDUSTRIA;PCY_CONSTRU;PCY_SERVI;PCY_IMPUESTOS
2012Q4;100.5724800764824;90.46550226775946;81.40981024569925;96.46452095536688;89.33489235108766;96.45911671722595;85.54842250331286;98.62149557548324;105.68112999629852;96.6422127554396;89.69475525757734;1;-4.148865603409058;-4.358777657749647;-10.175316892588226;1.9045886447631721;-5.493900731376778;-3.1614601956292288;-8.326223937339206;-5.050769400580812;-8.149987135409653;-2.032340749926065;-3.657896564432006
2013Q1;99.32202250537907;89.58199830718371;81.98058584818733;97.32166351861247;88.70173194112832;96.19400611003861;92.36669350804341;96.87042288696829;99.42112483792296;96.96976161556357;88.65634933615158;1;-5.327799758975926;-4.045033200910108;-7.240149498932913;4.739573907196415;-5.091252351144093;-2.510074603380863;8.044675767718745;-5.640024673818756;-11.559330895446084;-1.1095664272587569;-4.6450705625796225
2013Q2;99.55750254694914;89.75031147609988;80.24199181502689;99.20810149175432;90.30149271589629;96.0953455909514;96.7151255076104;96.1238300323481;97.49762876984829;97.05171204821839;87.9249630927463;1;-3.6320198807525683;-2.513677633225986;-6.053678037862042;5.860751619990157;-1.2233751584562635;-1.656821625100402;17.24247860852963;-5.4852002357485885;-10.766968105312746;-0.36259779170882966;-4.07893697867604
2013Q3;99.54220299622564;89.58916056969076;81.33321834239904;100.10087468675492;92.02663037127907;96.03471832540544;96.4288650938458;96.59311696953795;97.35589748062173;96.86595773420082;88.12323044788629;1;-2.156818540993788;-1.7170022448636635;-1.710469827517358;2.8751947560071267;0.9694282173140278;-1.2654738985911407;13.34456578341625;-3.231186236173278;-9.294031527485558;-0.4277110708179155;-3.2014398343877537
2013Q4;100.3244756766956;89.78433222300845;81.81567380064233;100.08796994937644;93.309332303723;96.2173532557768;99.93214730039347;96.05183714993831;96.63374281646738;97.03696097034052;89.11456722358623;1;-0.2465927056767514;-0.7529611041509399;0.4985437918577196;3.7562504412229414;4.448922305761238;-0.25063827005371575;16.813547668308672;-2.605576411663879;-8.56102426246581;0.40846355194685824;-0.646847223480318
2014Q1;100.4252334069306;89.47498625067803;84.98027234247715;101.04747972526388;95.25771219221501;96.58114030912449;97.02317871799617;96.74942690533827;95.93737958563992;97.35117310138523;90.83572272463522;1;1.110741478801236;-0.11945709911351798;3.6590205635327777;3.828352364670451;7.391039732389815;0.4024514777386745;5.0413033455043665;-0.12490497927443167;-3.504029207034487;0.39333033253579064;2.4582259531353845
2014Q2;101.1191073113249;89.0888830617264;85.9167241901753;102.43735343991764;96.6521649914794;97.10265942066081;94.61812144533694;97.42610427884846;96.99326093701171;97.71959844497208;92.74530308729074;1;1.5685455384332636;-0.7369650349900003;7.072023321940657;3.255028470060717;7.032743407203013;1.0482441407695609;-2.1682276182420357;1.3547881374078807;-0.5173129225811035;0.6881758009810834;5.482333827606811
2014Q3;101.7470862580369;89.08179859954382;86.39588145855006;105.33518699621358;98.61177046709763;97.87912676788716;96.76395098800896;97.73742732901856;97.97171098928288;98.3338239804743;94.93629529286395;1;2.2150235733630064;-0.5663207099169898;6.224594599021116;5.229037534225722;7.1556896837915;1.9205642236926224;0.3474954245671569;1.1846707046853977;0.6325384743987694;1.5153582131519183;7.731292657282607
2014Q4;102.3744062551721;89.13670318145894;88.51109662426516;105.77446738861049;98.60194172490017;98.82543463094814;92.55870114599398;99.20656337568902;98.67563189019741;99.19769892789961;97.24387240478873;1;2.0433005651408376;-0.7213163204699335;8.183545416905513;5.6814994270642405;5.672111556805137;2.7106143402616967;-7.378452633700638;3.2843996735076875;2.113018718118065;2.226716434596021;9.122307872299128
2015Q1;103.2991262622166;90.04170025208164;92.7535943367948;106.35026358546035;100.45229790857725;100.02849498803874;96.84442056952925;99.94917028295826;101.21712870807148;100.10312381697993;99.74806364438854;1;2.8617238494639707;0.6333770198252653;9.147207675436198;5.247814071775081;5.453191764547505;3.569387012702907;-0.18424272511881057;3.307247887629039;5.503328468252056;2.8268285095329304;9.811493377743808
2015Q2;103.9164268096887;90.79085791554034;96.01264319859109;106.90284481314428;101.22048297980437;101.14861513303568;99.12260067582474;100.8943099796675;102.9473360364146;101.02659756101819;101.91835521372006;1;2.7663609507068143;1.91042338316747;11.75081930040609;4.359241256506863;4.726555260016885;4.1666785817340735;4.760693999922783;3.5598320660472194;6.138648233787625;3.3841718229208118;9.890584019975401
2015Q3;105.1595832427109;91.18923352010898;97.06720318482225;109.2789440921851;103.9494635478633;102.07634966440011;100.44307449539727;101.30602836809702;103.58033871751573;101.9077202161399;104.0601972680978;1;3.353901433619133;2.365730097164831;12.351655595286616;3.7440073050929223;5.412835664021087;4.288169536357178;3.8021633778102304;3.651212372375312;5.724742041961872;3.6344526135536404;9.610551946532153
